description,details,money,pub_name
1000 word blog post,Little to no reporting; Other,"$0.03
/word",restaurant nuts
"opinion, editorial, column or essay",,"$500
flat",reuterscom
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",revelist
"750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",revision path
900 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",rewire news
1200 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",rewire news
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",rewire news
"2200 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",ribbonfarm
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",richmond pulse
1000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.08
/word",ricochetmedia
7195 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.09
/word",riverfront times
1500 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",riverfront times
5000 word feature,Heavy/Investigative reporting,"$0.20
/word",roads  kingdoms
2500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.12
/word",roads  kingdoms
500 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",roads  kingdoms
600 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",roads  kingdoms
1849 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",roads  kingdoms
500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",roads  kingdoms
500 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",roads  kingdoms
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",roads  kingdoms
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",roads  kingdoms
~1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",roads  kingdoms
"~125 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.26
/word",rock sound
750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",rodales organic life
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",rodales organic life
1000 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",rodales organic life
732 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.24
/word",rodales organic life
700 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",rodales organic life
700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",rogue valley messenger
"1200 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",rolling stone
1400 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",rolling stone
5000 word,,"$0.80
/word",rolling stone
"1000 word opinion, editorial, column or essay",Little to no reporting,"$0.15
/word",rolling stone
"1600 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.16
/word",rolling stone
800 word profile or interview,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.13
/word",rolling stone
"850 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.18
/word",rolling stone
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",rolling stone
~750 word fob,Little to no reporting; Assignment (editor came to you),"$1.33
/word",rolling stone
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",rolling stone
500 word news story,,"$0.30
/word",rolling stone
,,,rolling stone
profile or interview,,"$150
flat",rolling stone
300 word poetry,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",rookie mag
2000 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",rookie mag
"1200 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",rookie mag
"1135 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.05
/word",rookie mag
1400 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",rookie mag
~5000 word fiction,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.01
/word",ruminate magazine
"2500 word criticism, review, or arts/entertainment coverage",Medium reporting; Assignment (editor came to you),"$0.01
/word",runner click
1200 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",runners world
1200 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",runners world
2280 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",rva magazine
"900 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.08
/word",salon
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",salon
1000 word,,"$0.15
/word",salon
"1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",salon
1200 word,,"$0.13
/word",salon
2900 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",salon
"1200 word criticism, review, or arts/entertainment coverage",Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",salon
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",salon
"1300 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",salon
~3000 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",salon
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",salon
~375 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",salon
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",salon
"~1500 word opinion, editorial, column or essay",Cold pitch (no pre existing relationship),"$0.10
/word",salon
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",salon
"~1500 word criticism, review, or arts/entertainment converage",Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",salon
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",salon
~1500 word news story,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",salon
~1500 word news story,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.13
/word",salon
~8000 word feature,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.01
/word",salon
"1400 word opinion, editorial, column or essay",,"$0.11
/word",salon
~4500 word feature,,"$0.04
/word",salon
,,"$200
flat",salon
"200 word opinion, editorial, column or essay",,"$0.75
/word",salon
,,"$150
flat",salon
other,,"$100
flat",salon
feature,,"$250
flat",salon
"1500 word opinion, editorial, column or essay",Cold pitch (no pre existing relationship),"$0.10
/word",salon
"1200 word opinion, editorial, column or essay",,"$0.06
/word",salon
,,"$150
flat",salon
,,"$100
flat",salon
500 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",san antonio magazine
300 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",san diego reader
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",san diego reader
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",san francisco bay guardian
"600 word criticism, review, or arts/entertainment converage",,"$0.25
/word",san francisco bay guardian
"900 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.17
/word",san francisco chronicle
800 word feature,Medium reporting; Assignment (editor came to you),"$0.50
/word",san francisco chronicle
800 word,,"$0.50
/word",san francisco chronicle
400 word news story,,"$0.38
/word",san francisco chronicle
